Loan ID,CIF Number,Credit Score,Job,Annual Income,Purpose,Home Ownership,Loan Amount,Loan Date,Due Date,Loan Term,Monthly Debt,Years of Credit History,Interest Rate,Total Paid,Months since last delinquency
80,3160,351,Helpdesk,366732000,Home,Own,727349962,2024-01-11,2024-10-11,9,80816662,8,7,376602477,2
81,2772,334,Data Engineer,124896000,Home,Other,878620461,2024-02-27,2024-07-27,5,175724092,7,7,740447404,1
82,7752,590,Cloud Engineer,672732000,Business,Mortgage,284099641,2024-04-08,2024-09-08,5,56819928,10,8.5,88966937,1
83,4274,843,QA-QC,547428000,Home,Own,942315810,2023-05-03,2025-03-03,22,42832536,1,7,370645919,1
84,435,529,Helpdesk,759948000,Consumer,Other,143167532,2022-03-03,2026-10-03,55,2603046,4,6.5,44917539,18
85,4832,769,Designer,36552000,Consumer,Mortgage,792710528,2022-12-02,2025-11-02,35,22648872,9,6.5,644769557,2
86,270,586,QA-QC,223896000,Home,Other,990435816,2022-06-15,2024-11-15,29,34152959,1,7,366014272,3
87,9819,472,QA-QC,468288000,Business,Own,765312727,2023-11-23,2028-04-23,53,14439862,8,8.5,501010078,1
88,2961,627,DevSecOps Engineer,818304000,Real Estate,Own,6523954,2024-06-05,2024-10-05,4,1630988,2,6.5,4281359,1
89,6321,658,AI Engineer,382212000,Others,Other,558787028,2024-06-04,2025-07-04,13,42983617,2,9,473292791,4
90,2137,598,Front-end Developer,247692000,Others,Own,117253293,2024-05-19,2024-09-19,4,29313323,4,9,69388391,1
91,2962,387,Project Leader,471036000,Automobile,Own,722708901,2024-05-08,2024-10-08,5,144541780,10,7.5,168631240,1
92,6704,441,Data Analyst,480804000,Business,Mortgage,237075651,2024-01-06,2026-10-06,33,7184110,7,8.5,18985838,15
93,9757,616,Embedded Engineer,582720000,Real Estate,Mortgage,332280642,2022-11-08,2027-01-08,50,6645612,4,6.5,223501042,18
94,2052,731,System Engineer,189924000,Consumer,Rent,355197087,2022-06-03,2027-06-03,60,5919951,2,6.5,314264234,10
95,3980,809,IT Consultant,48240000,Automobile,Other,206834401,2020-02-19,2025-02-19,60,3447240,9,7.5,199408490,5
96,4785,647,QA-QC,754764000,Consumer,Rent,990011147,2020-12-06,2025-10-06,58,17069157,6,6.5,157672651,14
97,5140,362,Data Analyst,579864000,Consumer,Other,612730346,2022-12-08,2025-08-08,32,19147823,9,6.5,193664771,7
98,229,393,System Admin,428556000,Automobile,Rent,859363860,2022-08-24,2024-06-24,22,39061993,6,7.5,502948104,10
99,2921,730,Back-end Developer,380388000,Business,Other,957802296,2021-03-13,2024-08-13,41,23361031,2,8.5,559351665,19
100,9974,457,ERP Engineer,860352000,Home,Own,553274432,2023-07-03,2026-11-03,40,13831860,6,7,497529949,10
101,2986,817,Back-end Developer,139752000,Automobile,Other,635147381,2023-12-25,2024-12-25,12,52928948,5,7.5,141748009,4
102,3368,595,ERP ConsultantSolution Architect,434460000,Automobile,Rent,5230897,2023-02-08,2024-08-08,18,290605,5,7.5,3996883,6
103,4839,360,ERP ConsultantSolution Architect,726180000,Business,Other,358391681,2019-10-08,2024-07-08,57,6287573,8,8.5,115089918,12
104,6323,714,AI Engineer,176268000,Consumer,Other,176490818,2024-01-28,2024-06-28,5,35298163,10,6.5,149481034,1
105,3497,843,Cloud Engineer,161604000,Business,Other,273890162,2022-10-27,2024-06-27,20,13694508,5,8.5,253559222,7
106,2983,442,System Engineer,223836000,Business,Own,273660331,2024-03-21,2024-08-21,5,54732066,9,8.5,233999642,1
107,1909,651,AI Engineer,551808000,Consumer,Other,893084184,2024-03-22,2025-06-22,15,59538945,2,6.5,661227928,4
108,4366,444,ERP Engineer,398112000,Home,Own,766006820,2022-07-12,2026-07-12,48,15958475,9,7,204731496,13
109,4413,814,Product Manager,707964000,Real Estate,Own,893614077,2023-07-16,2026-05-16,34,26282766,2,6.5,234709099,13
110,7595,410,System Engineer,526896000,Business,Other,410806673,2023-10-15,2024-09-15,11,37346061,4,8.5,329585102,2
111,4898,558,Helpdesk,44424000,Others,Mortgage,340895926,2023-09-30,2024-12-30,15,22726395,2,9,275520418,3
112,7903,460,Cloud Engineer,378072000,Business,Rent,830510734,2023-08-11,2025-12-11,28,29661097,10,8.5,457330145,13
113,2125,787,ERP ConsultantSolution Architect,604176000,Home,Rent,245676743,2020-11-02,2025-03-02,52,4724552,6,7,155590678,24
114,4603,668,System Admin,664824000,Business,Rent,525065308,2021-09-11,2025-06-11,45,11668117,1,8.5,356565124,18
115,9009,408,Product Owner,643980000,Automobile,Mortgage,176152270,2024-02-22,2028-12-22,58,3037108,7,7.5,83204717,25
116,5366,360,Helpdesk,443532000,Business,Rent,976522506,2022-12-17,2025-07-17,31,31500726,7,8.5,64426254,13
117,6835,581,Business Intelligence AnalystData Scientist,761856000,Business,Own,918745574,2022-09-29,2026-10-29,49,18749909,2,8.5,31067645,4
118,4577,497,Mobile Developer,257076000,Real Estate,Rent,266861725,2023-04-29,2025-09-29,29,9202128,9,6.5,168659591,8
119,2743,518,IT Consultant,460356000,Others,Rent,465110412,2024-04-08,2024-08-08,4,116277603,8,9,377201422,1
120,3037,325,Tech Lead,386964000,Consumer,Mortgage,651301073,2024-03-03,2025-08-03,17,38311827,6,6.5,388384579,3
121,4730,449,Tester,215592000,Others,Own,86952413,2021-10-13,2025-08-13,46,1890269,7,9,19635339,2
122,9863,544,Project Leader,133368000,Business,Own,594550257,2024-02-10,2025-05-10,15,39636683,7,8.5,335073253,6
123,9567,684,Data Analyst,58068000,Real Estate,Other,321096510,2024-05-08,2024-09-08,4,80274127,6,6.5,86121261,1
124,945,478,System Engineer,327504000,Automobile,Rent,781447856,2023-10-21,2025-02-21,16,48840491,1,7.5,375524592,2
125,9285,374,Front-end Developer,662460000,Automobile,Mortgage,142407149,2023-04-04,2026-11-04,43,3311794,6,7.5,63358508,11
126,7149,779,Designer,276084000,Business,Own,409491116,2021-12-30,2024-06-30,30,13649703,6,8.5,395839622,2
127,6573,444,Embedded Engineer,430992000,Real Estate,Rent,988845783,2022-03-16,2026-11-16,56,17657960,4,6.5,119277523,13
128,594,811,Blockchain Engineer,149124000,Others,Rent,150326599,2023-04-30,2027-11-30,55,2733210,1,9,103146812,16
129,4235,818,Database Engineer,214548000,Business,Own,386351356,2023-10-28,2027-09-28,47,8220241,2,8.5,273298877,13
130,2389,844,Cloud Engineer,144504000,Home,Mortgage,354152887,2024-03-30,2025-08-30,17,20832522,1,7,136148937,4
131,8272,387,System Engineer,185760000,Others,Own,605093789,2023-05-30,2026-03-30,34,17796876,7,9,67250868,10
132,5193,721,ERP ConsultantSolution Architect,511464000,Business,Other,303070822,2023-05-05,2026-11-05,42,7215971,6,8.5,22863308,18
133,1615,557,Game Developer,588492000,Home,Mortgage,223851665,2024-02-17,2024-09-17,7,31978809,9,7,223272064,2
134,457,678,Business Analyst,189264000,Others,Other,440118148,2023-04-07,2025-11-07,31,14197359,1,9,427702491,6
135,2620,799,Business Analyst,45048000,Real Estate,Mortgage,506490094,2024-02-27,2024-06-27,4,126622523,7,6.5,130966942,1
136,6152,529,Back-end Developer,292224000,Business,Own,213347357,2024-01-09,2025-01-09,12,17778946,10,8.5,141578016,4
137,6042,690,Full-stack Developer,443064000,Home,Rent,764438831,2023-06-29,2027-04-29,46,16618235,6,7,641976691,4
138,4969,838,Helpdesk,423384000,Others,Other,966799960,2024-02-15,2025-12-15,22,43945452,4,9,334530878,8
139,1030,390,Game Developer,777924000,Others,Mortgage,337247906,2024-01-04,2026-08-04,31,10878964,2,9,160217094,1
140,396,496,Project Leader,811272000,Real Estate,Other,783654559,2024-06-04,2024-10-04,4,195913639,1,6.5,501202804,1
141,180,413,Tester,342108000,Home,Mortgage,997006707,2021-10-01,2025-07-01,45,22155704,5,7,949037984,19
142,1933,635,System Admin,138708000,Others,Rent,911178802,2022-07-02,2024-10-02,27,33747363,2,9,193284049,6
143,5660,326,Tester,458688000,Automobile,Other,952974437,2022-04-29,2026-11-29,55,17326807,3,7.5,951091701,11
144,6279,680,Mobile Developer,591468000,Others,Own,524173568,2022-03-11,2024-09-11,30,17472452,6,9,141612259,6
145,9212,617,DevSecOps Engineer,606792000,Business,Rent,426654054,2023-04-02,2024-07-02,15,28443603,9,8.5,355159393,1
146,5523,591,Data Engineer,213636000,Others,Rent,960061540,2023-07-22,2024-07-22,12,80005128,4,9,554653803,3
147,5670,464,Data Engineer,510060000,Home,Mortgage,390556262,2023-01-24,2026-03-24,38,10277796,4,7,249546018,3
148,8292,535,Business Analyst,700776000,Home,Mortgage,250811716,2023-12-29,2027-10-29,46,5452428,8,7,230747010,12
149,2821,754,AI Engineer,192936000,Consumer,Mortgage,190296939,2024-06-02,2026-07-02,25,7611877,3,6.5,133410414,2
150,9443,762,System Admin,833388000,Real Estate,Mortgage,360616749,2024-03-01,2024-07-01,4,90154187,8,6.5,303860047,1
151,4934,817,System Admin,481944000,Real Estate,Rent,866596672,2022-07-02,2024-09-02,26,33330641,9,6.5,181385520,1
152,8317,414,DevSecOps Engineer,722628000,Real Estate,Other,871549209,2023-08-02,2027-08-02,48,18157275,1,6.5,439989167,18
153,3850,528,QA-QC,659376000,Real Estate,Own,992039297,2021-07-26,2025-03-26,44,22546347,10,6.5,734076583,3
154,4228,665,ERP ConsultantSolution Architect,637740000,Real Estate,Rent,619494651,2021-12-07,2026-11-07,59,10499909,6,6.5,512468741,3
155,2898,672,Front-end Developer,802848000,Others,Own,689635185,2023-11-14,2028-05-14,54,12771021,3,9,22792730,6
156,2219,487,IT Support,737316000,Real Estate,Rent,568100534,2024-02-03,2025-04-03,14,40578609,2,6.5,47527188,5
157,142,687,System Admin,229116000,Business,Other,643588752,2022-06-15,2024-08-15,26,24753413,9,8.5,521568440,7
158,5827,631,DevSecOps Engineer,221748000,Home,Own,960008876,2023-12-12,2026-06-12,30,32000295,9,7,113930672,2
159,704,790,IT Consultant,49308000,Real Estate,Mortgage,252833260,2024-01-10,2026-09-10,32,7901039,5,6.5,45332377,15
160,9500,663,Tech Lead,431016000,Real Estate,Other,620974914,2023-08-16,2025-01-16,17,36527936,4,6.5,425480789,2
161,6443,325,AI Engineer,660504000,Business,Own,499275036,2023-12-17,2024-11-17,11,45388639,1,8.5,157849770,2
162,3528,368,IT Manager,870096000,Home,Mortgage,360221341,2023-11-15,2024-10-15,11,32747394,3,7,208808788,4
163,9408,794,Cloud Engineer,345888000,Real Estate,Own,54962855,2022-12-08,2025-06-08,30,1832095,3,6.5,23445783,3
164,6082,694,QA-QC,286728000,Home,Other,350130913,2024-04-07,2025-07-07,15,23342060,1,7,201730294,5
165,6793,381,QA-QC,59220000,Automobile,Mortgage,84254663,2023-12-19,2025-11-19,23,3663246,6,7.5,66497596,1
166,553,315,DevOps,190248000,Business,Rent,408218115,2023-08-04,2027-12-04,52,7850348,4,8.5,167363447,20
167,6944,605,Designer,638340000,Business,Mortgage,944958983,2022-04-11,2025-07-11,39,24229717,5,8.5,777861475,11
168,3331,371,AI Engineer,206004000,Others,Rent,147110215,2023-11-14,2026-01-14,26,5658085,3,9,56181496,3
169,9741,464,ERP ConsultantSolution Architect,460668000,Business,Rent,402712391,2020-11-26,2024-10-26,47,8568348,8,8.5,96704344,5
170,6518,631,DevOps,517380000,Business,Rent,170319219,2024-05-27,2025-05-27,12,14193268,4,8.5,64546456,2
171,3116,800,IT Manager,325140000,Real Estate,Rent,804749014,2023-10-28,2025-04-28,18,44708278,6,6.5,331722267,7
172,2424,830,Tech Lead,140688000,Others,Rent,244300009,2022-09-25,2024-11-25,26,9396154,1,9,184324068,2
173,3524,399,DevSecOps Engineer,48432000,Real Estate,Own,285463968,2022-12-02,2025-05-02,29,9843585,10,6.5,93591924,5
174,7670,658,System Admin,823392000,Others,Own,965780518,2024-05-15,2024-10-15,5,193156103,1,9,679796749,1
175,9625,418,Designer,455880000,Consumer,Rent,496430198,2023-12-01,2025-05-01,17,29201776,1,6.5,481433915,1
176,1047,525,QA-QC,725484000,Automobile,Other,472941357,2023-08-03,2024-10-03,14,33781525,4,7.5,367954945,3
177,1210,656,Game Developer,187848000,Real Estate,Mortgage,313836983,2021-03-30,2024-10-30,43,7298534,6,6.5,218538237,11
178,5274,615,Business Analyst,664212000,Others,Mortgage,71198749,2022-01-03,2026-11-03,58,1227564,9,9,44338728,27
179,6746,466,DevOps,637320000,Real Estate,Rent,693264652,2021-07-26,2025-11-26,52,13332012,10,6.5,595016918,23
180,6294,550,Data Analyst,355440000,Home,Mortgage,495022243,2023-10-18,2025-01-18,15,33001482,3,7,266916974,6
181,7010,642,Product Owner,736764000,Business,Other,537962998,2022-12-08,2025-04-08,28,19212964,4,8.5,294511068,12
182,8470,372,Product Owner,627312000,Business,Rent,847370997,2023-12-11,2026-02-11,26,32591192,1,8.5,527577244,2
183,8686,418,Tech Lead,273108000,Home,Own,382653574,2023-06-07,2024-07-07,13,29434890,10,7,247129576,5
184,3119,849,Helpdesk,371964000,Business,Other,628205000,2022-06-27,2025-10-27,40,15705125,8,8.5,31416926,14
185,3507,353,QA-QC,443904000,Others,Mortgage,549528491,2023-10-24,2027-05-24,43,12779732,6,9,67477034,5
186,9281,514,Designer,175476000,Real Estate,Mortgage,75258546,2023-05-29,2026-10-29,41,1835574,10,6.5,49700905,18
187,1824,716,ERP Engineer,130896000,Automobile,Own,846245201,2022-03-05,2025-01-05,34,24889564,1,7.5,115722236,7
188,9352,811,QA-QC,122556000,Consumer,Other,853451777,2024-03-18,2024-07-18,4,213362944,2,6.5,313950873,1
189,9780,451,Designer,149796000,Home,Rent,885661866,2020-02-05,2025-02-05,60,14761031,9,7,519241198,2
190,2496,476,System Engineer,45000000,Consumer,Rent,894405015,2024-03-21,2025-05-21,14,63886072,5,6.5,597891358,4
191,7152,353,Data Engineer,624516000,Consumer,Own,546734953,2022-12-05,2025-02-05,26,21028267,9,6.5,140222466,3
192,1998,733,DevOps,522420000,Automobile,Other,455072755,2023-09-09,2026-08-09,35,13002078,10,7.5,176123848,12
193,5204,591,Tester,227400000,Consumer,Rent,234092395,2023-12-09,2024-09-09,9,26010266,6,6.5,233989508,3
194,6829,581,IT Manager,558456000,Automobile,Mortgage,616551632,2023-08-10,2025-05-10,21,29359601,4,7.5,521655168,4
195,2761,603,Database Engineer,347028000,Real Estate,Own,158216218,2024-06-13,2026-01-13,19,8327169,8,6.5,98594342,5
196,3496,422,Business Intelligence AnalystData Scientist,226656000,Real Estate,Rent,510376954,2024-01-22,2025-06-22,17,30022173,6,6.5,188993033,4
197,5722,406,Tester,208740000,Home,Own,327830187,2024-02-03,2024-08-03,6,54638364,3,7,321261686,1
198,8163,682,Blockchain Engineer,827772000,Home,Rent,703244763,2020-06-22,2024-06-22,48,14650932,6,7,692403922,11
199,6144,754,Product Owner,633312000,Business,Other,31202884,2022-08-06,2024-08-06,24,1300120,6,8.5,12200226,5
200,7616,497,ERP Engineer,176148000,Consumer,Mortgage,301575100,2022-10-09,2024-11-09,25,12063004,9,6.5,73367554,9
201,6781,496,System Engineer,38928000,Business,Mortgage,6173427,2023-04-17,2027-01-17,45,137187,7,8.5,1506369,14
202,4715,474,QA-QC,42216000,Home,Other,573872266,2023-05-10,2024-12-10,19,30203803,9,7,381525318,4
203,7759,788,IT Support,46680000,Real Estate,Rent,604841210,2023-03-31,2026-10-31,43,14066074,2,6.5,577909924,14
204,5040,520,Embedded Engineer,293436000,Automobile,Other,963567286,2022-04-01,2026-09-01,53,18180514,2,7.5,849209552,1
205,9761,617,Product Manager,431220000,Home,Mortgage,466314938,2021-03-10,2024-09-10,42,11102736,7,7,434441530,11
206,9922,633,Back-end Developer,152448000,Consumer,Own,307757517,2022-08-04,2025-11-04,39,7891218,9,6.5,204323214,10
207,6859,446,DevSecOps Engineer,203628000,Automobile,Other,80974412,2024-05-24,2025-01-24,8,10121801,1,7.5,74314256,1
208,7601,721,Game Developer,768288000,Real Estate,Other,833444715,2023-04-11,2026-06-11,38,21932755,3,6.5,739294616,12
209,643,417,Helpdesk,437208000,Real Estate,Rent,567388982,2023-08-21,2024-09-21,13,43645306,9,6.5,339152632,2
210,7522,817,Data Engineer,794340000,Real Estate,Mortgage,118255234,2023-12-25,2024-09-25,9,13139470,5,6.5,103592148,1
211,2348,525,Database Engineer,38244000,Business,Own,61619794,2023-03-29,2025-11-29,32,1925618,3,8.5,52416545,3
212,2341,760,Blockchain Engineer,839736000,Consumer,Other,311057610,2022-10-31,2026-11-30,49,6348114,8,6.5,36101763,5
213,195,324,Tech Lead,812232000,Others,Own,760027506,2022-08-18,2024-12-18,28,27143839,9,9,203500778,13
214,7193,674,DevSecOps Engineer,694224000,Automobile,Mortgage,407579585,2024-04-26,2028-05-26,49,8317950,5,7.5,139635405,21
215,4265,418,QA-QC,238632000,Automobile,Rent,186225477,2023-02-14,2027-05-14,51,3651479,10,7.5,129170353,7
216,3726,382,System Admin,740952000,Business,Own,316242031,2023-11-21,2024-07-21,8,39530253,3,8.5,63606169,1
217,5675,397,IT Consultant,363720000,Home,Other,537871353,2023-07-01,2028-02-01,55,9779479,5,7,17095932,26
218,3903,496,IT Manager,654828000,Business,Mortgage,932743403,2022-02-15,2026-06-15,52,17937373,5,8.5,634902287,24
219,7150,440,System Engineer,447108000,Business,Mortgage,971307663,2024-05-24,2024-09-24,4,242826915,7,8.5,710174500,1
220,3006,786,Product Manager,573528000,Consumer,Other,728292742,2022-06-23,2025-10-23,40,18207318,5,6.5,619534086,15
221,7978,309,Project Manager,550008000,Home,Rent,82843467,2024-01-18,2027-09-18,44,1882806,3,7,7892282,5
222,8989,780,Front-end Developer,526764000,Others,Rent,6942773,2023-11-09,2024-08-09,9,771419,4,9,5659207,3
223,9308,332,QA-QC,484764000,Automobile,Mortgage,268335000,2022-09-11,2026-06-11,45,5963000,7,7.5,127617358,21
